,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40
ADP,4.237859056113734,1.3109143439446749,-4.16971240171898,-6.445237786193304,-6.546008534726916,-0.003957249665145934,-0.20435988161108762,-5.036008730539618,1.6869946446474224,-2.107895854293139,3.032220583973365,1.3319523099148765,-1.4098216880765309,-0.6439663700404155,0.6176260865163304,1.0462993240045226,-1.8159491557677738,1.535637440741645,1.156536650846283,-0.49068357532480295,-4.057795684659815,-2.434064107153236,4.165351468413576,-2.610331295153088,0.42673645344851263,-0.3314155653812069,-1.0718294021308716,2.257477696245766,0.4939084591486402,-2.87153864594013,1.7658838725249175,1.624687610926609,0.33537449548896925,-0.27091170940828724,-2.830939847585379,1.0501471593253473,-0.3299340460570646,1.398564940192724,-0.6105020799181372,-0.5328933759184685
ADSK,-2.348216939064419,18.97244094507431,-3.2363662126567148,1.7356247105001206,-3.1429398104929,2.126382588575915,-3.9950239387143345,-0.5921786008833317,-0.4220409381905391,-2.8588635243292706,-0.8235184663925325,0.6228089476679995,2.0713302948508328,-1.4422056483642705,-0.5907862036171163,3.66630232621233,-1.2629555471271758,-1.1409960505124654,-0.42312128167561125,-4.002097849194497,1.1823922382136873,-2.685563457596784,2.449352037372866,1.3457248917269506,0.4662706639646104,1.8268936392008837,-1.9421100864071876,0.42372918599629283,0.11672705485488324,0.1882601627071899,2.5090718759432664,2.324672622069778,-2.207531055068246,-0.8842553036235379,-1.179527446001048,1.4947307717901726,-3.3771113092801737,0.7768164612471028,0.23451965605292432,2.6436522051012807
AEE,26.813471215282316,-14.988855574762363,-6.180555013268384,0.6846867837416923,-0.5658078091736249,8.27852544631075,-3.5008276649097283,-1.207327824909419,-3.6691335978511375,3.682413941759036,0.9752469054039976,-8.027019334501313,-1.8168521708247711,-1.8021395431175458,0.6178755609181483,0.9844841185599066,-0.0925440468845227,-0.6618957407468307,1.015653975127484,-0.48448749858468204,-0.2324243133207617,-0.9497411373665064,0.15097002824121858,1.5515334314023506,-1.0782032861074855,0.10133598473628186,-0.44374557290417954,-1.3434603046136229,1.7526077673417435,-0.7897542223019096,-1.45706830524967,-1.3198481978341488,1.1179318327933006,0.5084555587191762,-0.5328814399247215,-0.8599290330451075,-1.596440659386897,-0.1517083656704737,-0.7840781993384803,-0.515594119857537
AEP,27.552667749358484,-15.183014813390232,-5.669294553115786,2.4861555456906355,1.8634236686315573,7.740611162505645,-4.99183920337931,0.12172624099402622,-3.947842940237459,3.0986081444960476,-0.7448545997920438,-9.119624836012505,0.04765794360706549,-0.42066403012267206,1.415958229523326,1.3930233040692868,-0.041153316438226256,0.12232607315087762,1.9091980419631944,-3.5696668323326546,-1.4116579821914526,-3.366025718358317,-0.3304114903326764,0.46201316296904427,-1.4489299953441432,0.5004480937564384,0.36246096587306353,0.5461019036361304,-1.2258041733991845,-0.8825556481072361,2.0218017671414237,-1.9319525383409526,1.799802660524094,-0.8836407195473418,0.436322522889075,-2.7438348961588277,0.9841875028813821,1.150023448458162,0.14365055481833258,-1.1117044516016101
AES,0.7242492665091329,-6.833314392218358,-6.454191772468447,8.541076965924342,-0.7789207939982005,5.2399663887565335,1.6849537046957643,2.3830166883332704,-0.06997171600222754,7.075521975310848,-6.032329574991016,-3.6049127626414212,3.2859443322423596,-4.1828047041782925,-0.08549875880686408,2.221189101621976,-3.5422940338356983,1.5984515149176854,-2.6550795119539,-4.892192270983645,-0.8441580655927057,0.33038731338826266,4.650722263794086,2.9462435383033543,0.6282727339228765,2.16340367781757,-0.20758248851924155,-2.1349079117503376,0.8135378388346053,2.2699102676280902,0.7976747168248806,-1.7653055172943557,-1.568675261443441,-1.4575012506558287,-1.836711187386747,-0.02960383624169808,2.3595193242133106,-0.3786421321390581,-3.4121768965644184,1.369022240499776
AFL,-8.607441647514399,-14.052115671013022,-3.022508005900065,-3.163932275051525,-6.6249368821635155,-5.238346434920422,1.1744058129050288,-3.7836619180039555,0.4075086404489402,2.72122395902293,-0.5219845946600387,0.0508290493895255,2.6305496303401306,3.048111356281683,0.1280814316249162,-1.2169141515156696,1.9067777652830193,2.205860628909712,-0.23954310046670807,2.99890100233864,1.3007520953502303,-0.5543923254899304,-2.4471675980666903,-0.8713089375366943,-1.1330949020726075,1.2073349040571892,0.8655386588021048,0.11795056974382409,1.9655314644843611,0.44971632554702096,-1.2245933462479899,0.28299682883142174,-2.308053771704104,-3.1339190842845106,-2.6635661645611832,1.7788094569427526,-7.434513939847488,-3.068747912869416,-0.06490089060649568,-3.4639137325602904
AIG,-14.465305146463587,-12.449886831733306,-1.5956373049325463,-2.6222357725427425,-4.341241999978679,-5.700163722637722,-1.201321023751077,-3.4211929669414984,1.9630020932137895,4.093332728694665,-2.0509462696927305,-2.116042722968295,2.218177757704935,2.2386464180883667,2.5756382033751724,-1.206217894259458,0.7166031569518491,-3.2793634345613696,-1.3082283512094892,-0.9580937519380848,-0.2500397973220043,-0.29871969759921496,-3.306275221060015,-3.3564358154513068,0.430705561627397,0.9222458486515057,-3.82443514949785,0.24216487889956165,0.6068915794206229,-0.9090098112053742,-2.010364585217467,1.8891873885001498,-1.4912676503376032,-0.5250405159198867,-1.9677623835571245,0.586856132150101,-3.5206393995414307,-0.8240541720304425,0.14843300095290843,-1.594907823953328
AIZ,-2.9207420909268693,-8.64815207878717,1.3205730561931512,-3.209737409551623,-3.362534214231142,-3.9819346169407726,0.4501444836127509,-1.6498873077756588,5.634537366954088,6.674928008393358,0.9543180325006714,-1.3196029870248371,7.308663886440894,-1.283344491057116,3.170516318619872,-3.85682206172997,-3.75738597627415,-1.418425329013969,-6.3186926015830975,4.456167198802224,-3.4857693282083826,-3.2082212064138806,-3.62283583355542,0.40728036284632996,-0.6059400180662528,2.6989431837138933,-0.7274819261691026,2.2614943052933754,2.468140606244948,-1.2781906999737211,-3.7268883433241715,2.28959674336527,-1.3190788611611217,0.9220572076454734,-3.57369291581041,1.3204657588772657,-0.5540198433142988,-1.97952534864769,1.2266879907171306,-3.6040875890107826
AJG,4.426361597911977,-1.7109011554768534,-2.8635068073213383,-8.574658919599933,-10.52715673798434,-3.8961760412856483,3.419087170900857,-7.683186767467021,4.303391960667491,0.3339017126997164,-1.5900913255453348,-1.1214498712442331,8.66397467820701,4.892257362401692,-4.037544004044157,-6.211622032511954,-8.284503534458896,-2.840151619562543,-1.5375170468853943,3.442967925226555,-5.0774502656795715,1.0346234031534702,1.3538756380281487,2.1523610821228205,-1.3546100046645475,0.6170671120350641,-0.459652011952984,1.6895793375153891,0.016949570127388354,0.5719022508213664,0.43925003585257894,-4.188514581748507,-0.18772466882865177,-1.2492345326516299,1.1778543692672174,-0.9371774289435035,-1.2529962939217778,0.8717890617622368,0.35573036904657485,-0.17739591523316187
AKAM,7.715926212891889,12.83281550887991,9.106594360497922,0.422453910898242,2.436690296640225,0.6365378593870055,-5.179930353303726,0.471216263655404,1.7110910892356057,-7.5944894739229944,3.248835286716264,-1.8783389809526336,1.4080707869144928,1.2823017185739327,2.992673121489996,2.282233475141335,3.185141830792338,-5.543427224331132,-0.5286405761056613,-0.6200236448397587,-4.214757720487646,3.1806221069638294,4.851982969847185,2.0428761066431425,-3.320077022838311,2.4204606286711865,0.4423779879685941,-1.9112794504568171,-0.3073468907188133,-3.0795617640523676,-1.5936817669857424,-3.604534802733962,3.996538636714439,-0.857951385249456,-1.686563624052878,-0.5436459196870193,-6.309563552438166,-0.4054727259265897,0.6171517953811729,-0.39570983439987195
