,0,1,2,optics_label,kmeans_label,dbscan_label,hierarchy_label
FDX,-6.1774774,8.121603,9.813191,20,9,16,0
FE,7.6960087,-10.571232,-8.096194,17,10,5,12
FFIV,-1.1237552,11.4370365,3.3379,19,9,15,0
FI,3.211245,5.438051,-4.035607,5,13,2,3
FICO,3.9137044,10.559227,0.9602994,4,12,2,9
FIS,4.5130506,5.302543,-4.827049,5,13,2,3
FITB,-16.261047,-2.0285454,7.325773,10,7,12,8
FMC,-10.068163,0.93271667,-1.2683076,8,3,6,11
FRT,0.016506337,-14.761702,0.88025194,16,2,8,6
FSLR,7.121893,17.524767,4.970858,4,12,2,9
FTNT,2.4826086,15.66625,2.5150907,4,12,2,9
GD,-6.3273587,-4.2979794,8.245058,13,14,17,5
GE,-7.786963,-4.044238,2.0655403,7,3,6,11
GEN,1.919213,14.026228,6.7490306,4,12,2,9
GILD,17.900486,4.3607635,-5.309005,2,1,0,4
GIS,13.829804,-2.6389515,0.85996616,15,6,11,2
GL,-13.937455,-7.4477496,8.177045,9,7,7,8
GLW,-2.792013,6.1346364,1.0421622,-1,13,-1,3
GM,-8.019427,-4.013401,-0.6173839,22,11,18,0
GNRC,0.010388023,10.777181,-2.744354,4,13,2,9
GOOG,1.9463943,20.57723,-1.6351962,4,12,2,9
GOOGL,2.45532,20.22335,-2.6956897,4,12,2,9
GPC,-3.68247,-2.993112,3.8247757,6,14,-1,1
GPN,3.400063,5.8513975,-5.6592736,5,13,2,3
GRMN,-0.77055734,8.955129,-1.3236737,5,13,2,3
GS,-15.892487,-3.4075894,2.9552283,9,7,7,8
GWW,-3.888487,3.0021853,9.036938,20,9,16,0
HAL,-15.044839,-13.524821,-5.509144,11,4,9,14
HAS,1.264771,-1.6870186,1.8450204,-1,11,-1,1
HBAN,-19.345531,-3.0529964,7.7151527,10,7,12,8
HCA,1.8370432,-8.540478,6.7580934,-1,11,-1,1
HD,3.185247,0.44550568,5.400565,21,5,14,0
HES,-16.754932,-12.959353,-6.984566,11,4,9,14
HIG,-11.284026,-9.189538,7.0961456,14,0,3,10
HII,-6.861427,-4.388392,9.635507,13,14,17,5
HLT,-4.4264226,-11.8247595,1.2100878,6,14,1,1
HOLX,12.129131,7.5353312,-1.950806,0,1,0,4
HON,-6.1124654,-1.4781599,5.159218,7,3,6,11
HPE,-3.5546062,10.607638,5.129637,19,9,15,0
HPQ,-3.7527895,10.336287,3.7655373,19,9,15,0
HRL,12.44628,-3.5563216,0.5044375,15,6,11,2
HSIC,9.589551,2.5303698,-7.1299195,15,6,11,2
HST,-2.4768171,-10.989794,0.54928213,6,14,1,1
HSY,10.672725,-4.313738,-0.4857809,15,6,11,2
HUBB,-6.1101003,2.5318384,3.4432685,7,3,6,11
HUM,10.531691,3.4647713,-13.931293,15,6,13,2
IBM,-1.8091015,9.207816,6.4762497,19,9,15,0
ICE,8.434987,6.986917,4.2531734,3,5,-1,13
IDXX,9.464605,11.067238,-2.675097,0,1,0,4
IEX,-3.979995,3.9055862,5.9059052,20,9,16,0
IFF,-2.3341887,2.6274533,-3.565387,5,13,2,3
ILMN,11.547592,13.867878,-0.7028131,0,1,0,4
INCY,19.687672,3.8028314,-7.580417,2,1,0,4
INTC,-3.4084778,15.021237,-2.0360823,18,8,4,7
INTU,1.8581718,16.033527,-2.685546,4,12,2,9
IP,-7.906088,4.9574847,-3.904224,-1,13,-1,3
IPG,-3.691866,-4.8147106,-1.5780078,22,11,18,0
IQV,10.950926,9.711074,-0.8060982,0,1,0,4
IRM,6.4964566,-16.085478,3.1747692,16,2,8,6
ISRG,8.305641,10.750957,-6.170395,1,1,0,4
IT,1.1175108,8.004711,2.6565435,5,13,2,3
ITW,-4.900905,0.81999725,6.3281727,7,3,6,11
IVZ,-13.791945,-4.4383907,1.0720774,9,7,7,8
J,-6.36873,4.0521035,1.4648957,7,3,6,11
JBHT,-6.427371,6.038068,11.321946,20,9,16,0
JBL,-3.8619423,9.587249,1.9107206,19,9,15,0
JCI,-4.7433248,1.4034905,2.2407684,7,3,6,11
JKHY,5.1947646,6.564547,-2.561782,5,13,2,3
JNJ,15.034396,5.2014675,-6.918715,2,1,0,4
JNPR,-1.4393891,11.930397,4.8698783,19,9,15,0
JPM,-15.812923,-4.590635,5.0375986,9,7,7,8
K,11.731069,-1.9046688,0.38428438,15,6,11,2
KDP,5.7553926,-6.6523533,-3.5216463,-1,11,-1,1
KEY,-17.931734,-1.6302576,8.053641,10,7,12,8
KEYS,-1.1734811,12.916087,-0.7120852,4,12,2,9
KHC,11.438728,-1.7532998,-1.9255625,15,6,11,2
KIM,0.98659945,-14.015889,1.7650316,16,2,8,6
KLAC,-4.540133,17.88027,-1.9400657,18,8,4,7
