,0,1,2
MCK,13.278644,-0.30048704,-10.315866
MCO,5.866388,8.95486,3.160967
MDLZ,11.605227,-4.080248,-2.0972195
MDT,8.76709,7.598213,-8.078123
MET,-15.374591,-7.1835566,5.5611615
META,3.7050843,21.200668,-1.6521727
MGM,-4.553129,-10.760227,2.742938
MHK,-0.7900525,-1.8093712,4.368368
MKC,13.2644205,-3.6119335,-1.1107259
MKTX,8.77811,8.767214,3.6520257
MLM,-9.767317,6.475037,2.5368857
MMC,5.477207,6.887323,8.439047
MMM,-3.4613304,0.1917705,7.287982
MNST,5.161854,0.6971698,-2.9370606
MO,9.395573,-2.841982,-4.1738515
MOH,9.235032,4.699135,-14.101443
MOS,-13.472864,1.7884971,-1.7154151
MPC,-13.636986,-12.8772335,-1.4552621
MPWR,-3.3833423,17.556519,-0.24409181
MRK,15.395942,3.8043294,-8.092453
MRO,-16.657005,-14.811443,-6.9295874
MS,-15.199041,-4.9077415,3.0036273
MSCI,6.087002,9.573235,1.5409235
MSFT,1.5973881,18.385546,-2.0943415
MSI,0.9579595,6.4416165,1.3777765
MTB,-19.78672,-4.098626,6.0672426
MTCH,5.177314,13.854606,-3.189821
MTD,15.318114,10.163921,-1.1855885
MU,-5.372649,14.366002,1.7802966
NCLH,-7.642381,-8.222188,0.17917652
NDAQ,8.153387,6.981782,3.0340447
NDSN,-3.8838851,5.295215,3.9753914
NEE,10.031267,-10.133757,-8.595049
NEM,3.8638055,-7.0188446,-7.2664123
NFLX,4.9744854,19.139805,-0.64518154
NI,9.063742,-10.8357,-6.354763
NKE,3.5354347,-2.274558,0.33241332
NOC,-6.3372674,-4.2745566,11.614131
NOW,3.4138224,15.78971,0.31231657
NRG,1.8729088,-11.130221,-6.5334086
NSC,-7.123219,5.247827,8.643178
NTAP,-3.0386815,12.145573,5.414305
NTRS,-17.882425,-4.411413,2.4735305
NUE,-10.999678,3.5651913,-1.1874795
NVDA,-1.6795125,16.901453,1.0112855
NVR,-5.0350895,4.9968886,-11.24461
NWS,-5.0186753,-4.218775,-5.4233484
NWSA,-4.5675383,-3.6835322,-5.6051207
NXPI,-7.9296985,15.266957,0.53614604
O,3.6903033,-13.781511,-0.43166664
ODFL,-6.0248284,5.1130285,12.186296
OKE,-12.2132,-14.361993,-5.5759764
OMC,-3.7629206,-4.6487966,-2.352904
ON,-7.479108,16.575998,1.4987255
ORCL,0.3606051,9.807455,6.2562194
ORLY,3.0174546,-2.8732843,9.012041
OXY,-17.026896,-14.82201,-5.081408
PANW,3.4919627,15.638337,2.8391585
PARA,-2.0672853,-6.8529935,-4.886596
PAYC,4.077396,13.1819,-1.3593073
PAYX,3.4858613,4.8556757,-0.6600785
PCAR,-7.6144295,1.8974692,6.462214
PCG,5.7144465,-8.149826,-4.712734
PEG,6.3330274,-12.659688,-8.408474
PEP,11.482994,-5.6690373,-2.510438
PFE,15.435112,4.043269,-6.0577154
PFG,-13.741179,-6.206888,5.3982835
PG,12.405057,-6.8133473,-1.6316106
PGR,-11.6636,-7.1325645,11.850472
PH,-6.538859,0.5580021,4.0431113
PHM,-3.6797588,4.1421804,-10.547999
PKG,-7.993361,6.161697,-3.684703
PLD,7.6411805,-15.0393095,1.8714049
PM,9.3084135,-3.7958138,-3.730393
PNC,-17.347063,-3.3704185,6.405887
PNR,-3.098371,0.74221903,4.1688466
PNW,7.3998237,-14.39291,-7.9811864
PODD,9.074199,14.923508,0.78292507
POOL,1.856548,2.4299564,6.0452027
PPG,-4.8043656,1.6121833,-1.0299896
PPL,7.382709,-13.842366,-5.7166314
PRU,-14.940407,-6.0969143,6.387617
PSA,7.3957996,-17.49853,1.6014072
PSX,-15.041283,-12.565469,-1.8679609
PTC,2.4547324,13.302617,0.9143924
PWR,-7.278664,2.5549233,1.7247813
PYPL,3.8923821,15.438408,-2.7795753
QCOM,-3.8575625,15.430228,-0.0005835681
QRVO,-5.6358137,13.854462,-0.84541667
RCL,-6.760554,-8.935063,1.4454622
REG,0.9853406,-14.3056965,0.15438014
REGN,19.38228,5.2260695,-6.322474
RF,-18.530426,-1.971259,5.596523
RHI,-4.8156714,-1.9834577,0.30507052
RJF,-17.012594,-7.441709,3.399326
RL,-0.29498282,-4.6789513,-0.600298
RMD,11.573545,10.696255,-5.8322415
ROK,-5.787305,2.4768925,5.380181
ROL,5.558751,4.8682137,2.9051735
ROP,3.5997488,5.098285,3.3069582
ROST,1.493793,-7.1044106,1.8503146
RSG,6.833932,2.6496365,1.247031
RTX,-6.3098145,-4.419683,6.4917703
RVTY,14.619079,12.192384,-1.3849003
SBAC,11.508961,-14.408113,2.1968
SBUX,3.317252,0.49564862,-1.9943831
SCHW,-18.663467,-6.393118,2.8739061
SHW,1.2616913,2.1464548,4.240034
SJM,13.265856,-1.5124924,-0.23045938
SLB,-15.79698,-13.959165,-3.836143
SMCI,-1.9417261,16.897398,4.125598
SNA,-4.9101257,-1.3769917,2.1472058
SNPS,0.6927845,16.284487,-0.18561143
SO,9.778026,-12.603167,-6.386736
SPG,0.38162267,-12.545797,1.0118661
SPGI,5.0211444,8.496521,2.727856
SRE,7.0515113,-11.938651,-4.606727
STE,10.441334,8.992552,-5.8244786
STLD,-11.882083,3.4606333,-1.282845
STT,-16.638123,-5.4852514,1.9646657
STX,-4.811922,13.221126,4.3455005
STZ,-0.3896423,2.0252235,-3.6554568
SWK,-2.0345125,-0.08198543,3.4384027
SWKS,-5.8948164,15.142507,-0.06702342
SYF,-13.153263,-1.8894054,5.633762
SYK,7.366767,9.278596,-8.229879
SYY,-1.4075341,-8.3304,4.117717
T,7.3349667,-2.9165316,-6.6069107
TAP,10.348749,-1.0444659,-4.013301
TDG,-3.5659811,-7.062166,5.0734596
TDY,-3.747839,-5.9399548,6.0965605
TECH,12.448733,12.443612,-1.1525029
TEL,-4.0603757,8.175113,1.4870789
TER,-6.4289346,17.27664,-2.1961548
TFC,-17.199125,-3.6722689,8.219018
TFX,7.907499,8.211294,-6.786187
TGT,6.508364,-2.554353,4.9520717
TJX,1.5691208,-6.995727,0.83866847
TMO,14.858403,10.981885,-2.9860692
TMUS,5.044069,0.09873167,-5.4260616
TPR,0.058129586,-4.0880194,0.19026352
TRGP,-12.49092,-13.914834,-6.865897
TRMB,-1.3206335,10.023243,1.5389187
TROW,-3.1082067,8.885448,-3.659297
TRV,-11.130843,-9.91006,9.18814
TSCO,5.151724,-1.7167408,5.5647774
TSLA,5.240926,17.720655,3.224866
TSN,6.36476,-5.6566195,-2.604502
TT,-4.5436883,2.903419,2.6872914
TTWO,7.0004835,18.084768,-2.0569923
TXN,-5.1787224,15.513112,-2.317106
TXT,-7.0805826,-3.1370702,3.713707
TYL,4.9520025,14.310128,-0.1699299
UAL,-8.294228,-10.067093,0.062071897
UDR,3.770192,-16.624792,1.1748695
UHS,1.2654911,-8.900023,7.020983
ULTA,0.66073066,-6.5353155,2.6207254
UNH,9.409292,2.4375165,-14.120383
UNP,-8.173572,6.068838,8.610117
UPS,-5.4133425,7.501432,10.684679
URI,-7.8226514,0.8900035,1.746832
USB,-18.522516,-4.8993206,7.527209
V,2.2115195,6.928166,-4.591098
VLO,-14.762835,-13.374895,-0.9000287
VMC,-10.390518,6.6432056,2.8645294
VRSK,5.7150974,6.8224206,0.67904717
VRSN,5.74104,8.521018,-0.32039547
VRTX,19.327314,3.6989367,-6.394872
VTR,2.9144676,-12.231476,0.46457312
VTRS,12.031722,2.0586941,-5.830792
VZ,7.831822,-3.4914184,-6.9329166
WAB,-6.589864,-0.9427919,1.9993376
WAT,14.957688,10.97307,0.07902002
WBA,10.189826,0.03536224,-8.350833
WBD,-1.9270796,-6.095822,-5.0724115
WDC,-5.545968,13.339754,3.2687454
WEC,12.874621,-12.8831215,-8.042017
WELL,3.0810235,-12.953086,1.3716966
WFC,-17.364225,-5.3400426,6.026012
WM,7.5386963,2.3524928,1.3788259
WMB,-11.116091,-12.561437,-6.208013
WMT,8.5047,-2.1060808,5.500233
WRB,-13.871806,-10.44411,10.251279
WRK,-9.04292,5.010541,-3.8495698
WST,11.431279,11.985266,-3.1483216
WTW,4.7816987,5.97061,9.5767765
WY,-1.5614729,-0.1923265,0.75899106
WYNN,-4.4403467,-12.149631,3.7442095
XEL,9.736658,-12.267295,-9.534623
XOM,-15.911973,-11.978985,-3.9823675
XYL,-3.9649549,2.8395195,4.490503
YUM,2.0914106,0.98587734,-1.8713142
ZBH,7.3513403,7.82272,-8.903011
ZBRA,-0.9488628,11.500971,-1.1439943
ZTS,9.825181,9.863924,-2.0001073
