,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross,best_threshold,best_return
88,ADI,ORCL,-3.690537103,0.018845,0.511300803,0.007907844,0.409799835,52.73796677,90,0.9500000000000002,7.888820955995124
89,ADI,ROL,-3.842381048,0.011890823,0.205919426,0.001748012,0.430027372,43.95933835,128,0.8500000000000001,9.10567230037436
90,ADI,SYK,-4.327065886,0.002322524,1.37102683,5.27e-05,0.388949854,32.36470805,144,0.9000000000000001,10.552056274998295
91,ADI,T,-4.043441509,0.006220666,-0.097748926,0.000970173,0.377349643,37.0410137,89,1.6500000000000008,0.6522743683705086
92,ADI,WM,-3.936633467,0.008823273,0.884739921,0.000376945,0.413536568,33.25131288,125,0.8,8.013583858380086
93,ADI,WMT,-3.833004912,0.012242669,0.232464624,0.000411824,0.393935762,39.18925051,79,0.8,10.622815084164285
94,ADI,WTW,-4.263782658,0.002913994,0.931175227,0.000227675,0.398571084,35.98183878,139,0.9500000000000002,7.11923091577513
95,ADI,YUM,-3.9565908,0.008273013,0.548338405,0.001050525,0.423628035,38.0369235,134,0.8,5.414217180720112
96,ADM,ALB,-3.758071079,0.015402851,3.386402659,0.005501565,0.453683703,61.97549268,54,1.1500000000000004,6.898350501616485
97,ADM,DLTR,-3.818280734,0.012813877,1.31245069,0.000614073,0.387584111,41.39774887,78,0.8,20.74358822153803
98,ADP,AON,-4.056242904,0.005960673,1.379556125,0.002315889,0.36194172,46.98087589,98,0.8,6.454809618195788
99,ADP,CDW,-3.699232912,0.018367049,1.062142057,0.005515696,0.410257329,50.15192245,128,0.9500000000000002,4.775014173515391
100,ADP,ELV,-5.093900931,0.000110227,2.266045383,2.01e-05,0.377238615,29.0012316,114,0.8,8.886213996453575
101,ADP,FDS,-3.76600694,0.015037145,1.9005589,0.003664392,0.413137838,53.03453078,87,0.9500000000000002,5.444468814570213
102,ADP,KO,-3.731647765,0.016677558,0.122919485,0.000256605,0.398989033,40.73433301,92,1.6500000000000008,2.5608883537564493
103,ADP,MCD,-4.21599179,0.003449409,0.969605852,0.002911067,0.394613627,49.63515157,118,0.8,5.118641851768939
104,ADP,MDLZ,-3.674337549,0.019764396,0.182960938,0.008471237,0.420639718,62.1192221,104,0.8,2.7599604949805325
105,ADP,MOH,-4.192846385,0.003739932,1.938854548,0.001891873,0.393308982,43.99688023,107,0.8,11.237750765414534
106,ADP,PEG,-3.759512816,0.015335836,0.131661333,0.002022789,0.394199721,43.22504503,147,1.2000000000000004,4.24626762935142
107,ADP,PEP,-3.709740469,0.017803684,0.485502399,0.003141286,0.413107485,51.50670114,114,0.8,3.0183260520576876
108,ADP,T,-4.400879225,0.001773654,-0.08011262,0.00059482,0.39381187,35.23678857,109,1.4000000000000006,0.6476463130198453
109,ADP,UNH,-4.068364783,0.005723606,2.453064598,0.00121321,0.413391247,44.87926336,118,0.9500000000000002,4.177471192526326
110,ADP,YUM,-3.691044667,0.018816807,0.445557883,0.00170571,0.423543282,48.52708149,103,0.9000000000000001,5.430795320175887
111,ADSK,ALLE,-3.872839088,0.010809085,0.272998263,0.001348495,0.415178689,44.69510296,87,1.1000000000000003,3.2247046193430187
112,ADSK,ANSS,-3.928053728,0.009069764,1.262251756,0.003387127,0.413607066,49.92377178,72,0.8,7.613285444823363
113,ADSK,TTWO,-3.894859688,0.010082574,0.538201145,0.001386914,0.396938903,47.03674691,69,0.9500000000000002,15.356656292445546
114,AEE,DG,-3.726791374,0.016921657,3.934791954,0.003591727,0.40909241,49.68129621,91,0.8,6.2607639921386165
115,AEE,EW,-3.818686552,0.012797823,1.729893349,0.004929293,0.385261683,47.3895247,88,0.8,7.455166363992433
116,AEE,HUM,-3.763361595,0.01515819,6.914708629,0.009635679,0.421942593,55.11730756,99,0.8,6.3417715536231825
117,AEE,JKHY,-4.033360731,0.006432587,2.19834118,0.003202334,0.407141829,44.07467477,97,0.9000000000000001,8.178413732871473
118,AEE,JNJ,-3.670991606,0.019959091,1.292527101,0.002758365,0.405754263,44.55183143,89,1.0000000000000002,3.303028322370243
119,AEE,LHX,-4.161345866,0.00417139,3.200662232,0.002611701,0.388154963,46.57581044,86,0.8,6.218101410644103
120,AEE,NSC,-3.772748496,0.014732509,3.91909913,0.005750769,0.4088619,55.22660835,90,0.8500000000000001,4.821308820316017
121,AEE,PCG,-4.111894349,0.00494119,-1.355522342,0.004093031,0.420414433,48.32290962,92,1.7000000000000008,3.5391500478893443
122,AEE,PPL,-3.828512227,0.012414513,-0.179648061,0.002641197,0.428042146,45.12074864,116,1.900000000000001,1.6408053950861299
123,AEE,SYY,-3.795732293,0.013734448,0.732566577,0.001705508,0.452383173,51.2576619,113,0.8,5.952327229749852
124,AEE,TAP,-3.901668291,0.009866947,-1.134922994,0.003941905,0.411965861,49.14830543,78,1.1500000000000004,1.6851999531531927
125,AEE,VRSN,-3.761231104,0.015256301,3.374864664,0.003461239,0.430462525,52.50491926,87,0.8,6.43475432032207
126,AEE,VTRS,-4.631593253,0.000738264,-0.866110591,0.000195204,0.323611728,29.8575937,127,0.8500000000000001,6.298251124098766
127,AEP,BEN,-3.747777421,0.015888865,-0.362213734,0.01236369,0.428771415,65.00589124,92,0.8,3.3147667737579667
128,AEP,ETR,-4.103215921,0.005088932,1.318015411,1.89e-06,0.399240653,24.34537364,114,0.8500000000000001,3.2764398722854104
129,AEP,JKHY,-3.910387187,0.009596847,2.468841506,0.006077279,0.438376815,57.57375565,74,1.0000000000000002,5.859261517614502
130,AEP,KDP,-4.004546326,0.007074843,-1.998519357,0.005797274,0.386782582,56.62951197,77,1.900000000000001,2.0881446571807314
