,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross,best_threshold,best_return
1797,MPWR,REGN,-3.7552552516957207,0.0155344823902056,0.8784786313735278,0.0038274263564559,0.3946676535201434,58.284693287997264,82,1.0000000000000002,4.656625256814585
957,DVA,LRCX,-3.686782650626578,0.019054691618043,8.896058324815222,0.0081053665681803,0.4075217118286989,57.328484763798286,57,0.8,4.652842624331618
1254,HES,NUE,-4.22801855079227,0.0033067654069936,1.1520971585613329,0.0005332694043067,0.4088864450079399,41.020601688666,76,0.8,4.64677463861888
959,DVA,QCOM,-3.877399295278962,0.010654909871949,1.5404874971766462,0.0027060563997424,0.3994470978898652,47.954070719585474,85,0.8,4.605454306262751
1464,JBHT,TSLA,-3.853953390124504,0.011468974644418,2.469353468829099,0.0049737089072342,0.4424036620440622,56.49608664028573,55,0.8,4.602003458384224
459,BLDR,PANW,-4.920199145336013,0.0002301913890703,1.5603417026845965,6.092359759625869e-05,0.4246238167582061,32.12553009477612,89,0.8,4.59863355717052
1768,MLM,PANW,-4.536217800993515,0.0010671550940702,0.6640705257875069,0.0005141208443501,0.4169941190755232,41.93653885527867,66,0.8500000000000001,4.5742545261000105
1585,LEN,URI,-4.518473932308024,0.0011417945824511,4.723442733835139,6.304426086066337e-05,0.3847511173395295,32.167280670879215,99,0.8,4.570793669193009
855,DLTR,MOS,-3.800610736659242,0.0135304621938384,0.3317248921608484,0.0057962761098414,0.4136894625365575,57.58193843502797,55,1.2500000000000004,4.562623213281955
303,APD,DXCM,-3.752686684124246,0.0156554172698905,0.6482363686171848,0.0195392286581526,0.4265192573696567,67.9713977755613,80,0.9000000000000001,4.56204467405821
1862,ON,ORLY,-3.7746137567191496,0.0146491890610299,9.204946814518344,0.0093027311511487,0.4250507658366139,58.09395993259709,85,0.9000000000000001,4.561203537414756
210,AME,MCHP,-4.9732858806777,0.0001843011724452,0.5080167933945567,1.1300831547277628e-05,0.3582263334550187,23.75921036468968,101,0.9000000000000001,4.5523515607132286
546,CF,EXC,-4.079318521859653,0.0055167804023814,0.2561536089565881,1.4190215769246094e-05,0.3892135908924939,32.500505465348766,152,0.9000000000000001,4.54354585142316
1802,MPWR,WMT,-3.690555883344074,0.0188439564208634,0.0541072050192353,0.0022051289109394,0.409407262198589,51.23822198582656,62,0.8,4.520305999607492
1229,HCA,MCHP,-3.851778108354094,0.011547239191069,0.2452527884089148,0.0009154656440922,0.3978229352101898,39.809155288345245,133,0.8,4.507598975669927
365,AXON,NVR,-3.6731802851391633,0.0198315474651782,19.42106545539597,0.0032224345409126,0.4176729446313827,48.01468619806728,77,1.6000000000000008,4.49787849341836
1139,FAST,NOW,-4.796782459421303,0.0003823594594879,13.675535992670254,7.214471778344698e-05,0.353959562360594,29.71086347573861,104,0.8,4.494436841189075
534,CDNS,REGN,-3.8450364288717975,0.0117928253166524,2.099430380593546,0.0027302767912523,0.4031177262144123,55.82068957010334,94,0.8500000000000001,4.464551383047237
846,DLR,TTWO,-4.089492072683234,0.0053307926059499,1.6554261426371766,0.0047270659252712,0.4118714978018086,54.9663923071505,102,0.8500000000000001,4.463429067825114
386,BBY,KMX,-3.7870414789396696,0.0141045883715802,0.8642214943009107,0.0034073963193876,0.419035298315401,52.334825688851545,63,0.9500000000000002,4.460103337064773
1909,PFG,WMB,-3.7977715294911953,0.0136488514138037,0.3321152751157784,0.0050589876832338,0.3927055325294523,47.49070855401175,80,1.7000000000000008,4.4474608042775134
1796,MPWR,PANW,-3.782419393183608,0.0143050099860197,0.3889644602945096,0.0006145453124112,0.4352657077056644,41.53504679775614,72,0.8,4.435729845132296
1179,GEN,KEY,-4.026173071997746,0.0065876560707384,0.6014920232781709,0.0190513567342317,0.3781471760038237,63.67312327821931,58,1.3000000000000005,4.431132238000066
269,ANET,BKNG,-3.890953859066039,0.0102081635416813,8.120548646275008,8.10307108137939e-05,0.3774609121622767,36.51830260762476,108,0.9500000000000002,4.428384118974772
966,DXCM,MSCI,-4.156428346854988,0.0042427111365946,4.032579243173494,0.0019227821536111,0.429698723457543,44.56076172267447,66,0.8500000000000001,4.412883656510153
1872,PANW,REGN,-3.681319023100994,0.0193634797303788,2.1456357671666755,0.0033624476975439,0.3984763785695097,54.0540730498152,80,1.1500000000000004,4.404036114723972
160,ALGN,KMX,-3.8504434622581902,0.0115954933633096,0.1317552416654153,0.0011697003951172,0.3615878752514234,44.70936962130409,85,0.9500000000000002,4.401848400680192
1147,FCX,MCHP,-3.6906667392274577,0.0188377960081888,1.3746905939071898,0.0028139295064598,0.4074054829617535,47.61062768711911,98,1.0000000000000002,4.3972261472337335
856,DLTR,NOC,-4.098053843048945,0.0051787086777921,2.8492876005871164,0.0028518068236517,0.3699590559823869,48.778229186071606,89,1.0000000000000002,4.397173659764489
517,CBRE,FTNT,-3.6742133271012,0.0197715950294239,0.9380818660950344,0.0056678975562066,0.3999818959112696,56.48825261500352,45,0.8,4.3907898895634725
1125,FANG,JNPR,-3.7357974462641694,0.0164714345747625,0.0771736875110075,0.0001651140996025,0.3736355038860707,36.38334349533549,116,1.0500000000000005,4.389044715898526
362,AXON,LEN,-4.672567401973524,0.0006285519199888,0.3884015183624054,0.0022502307256832,0.4263258328603503,41.119693635392,96,1.1500000000000004,4.387123944462248
